,users,ratings,shorts,times
11,基瑞尔,3,朋友凭一个截图就说这部电影神似那档有名的真人秀《公主我最大》，非常精准厉害的概括了我的观后感---确实有点停留在表面的肤浅，但看得还是有些愉悦。关于“血汗工厂”的猜测，鼓励使用微信，言谈里的独生子女或者是那些被封锁了的服务，从全片第一幕开始都掺杂了很刻板化的东西，但那至少是她能够观察到的第一眼。比之于前作《已是香港明日》野心盖过实际能力的模仿和单纯停留的“展示”，Emily在第二部长片中讲好故事有了些进步。女主真的有点可爱，吴耀汉也好搞笑哈哈，可以补一星。,2020-03-06
12,沙漏之瞳,1,这种烂片不打一星留着过年？感谢港台和国外的反贼在过去四十年不遗余力得通过各种媒体让欧美对中国产生完全错误的认知，我们才能够韬光养晦搞建设，呵呵。,2020-11-07
13,兔子座,1,请问这是什么洋砬砐？,2020-04-14
14,鬼腳七,2,就算不考虑对于中国的刻板想象，这个故事洋溢的非常天真的童话气质也很让人大开眼戒,2020-04-26
15,沙漠中的西蒙,2,1，短评里很多民粹其实是狭隘的，人家混血为什么就不能演华裔？2，导演的处女作已是香港明日拍的挺浪漫，这次涉及伦理剧也算是对自己的挑战。3，当然影片本身有很多问题，像大陆要去香港学设计这种情节大概放在三十年前挺合适，现在早就过时了，导演对中国现实的了解不如别告诉她。4，但影片里提到的局域网及开放问题是值得反思的。,2020-04-12
16,浮世鸿云,3,比《已是香港明日》扯点，各种偏见和不耐烦，经历一场商业失误后，父女俩还和解了。赶时髦蹭热度的片儿。5,2020-04-25
17,开开!,1,不上谷歌不代表隔离全部因特网好吗，还去香港学设计，逗我呢？香港不要太土啊现在！！,2020-04-26
18,烟雾正包围着我,1,"导演说是她的半自传
被台商剥削的工人真可怜啊",2020-11-07
19,纹森,4,其实拍得挺不错，并没有怎么黑中国，只是没把中国最好的一面拍出来，并不代表不真实。有人不喜欢，可能觉得故事不具有代表性，但本身就不需要代表性啊，只是一个中国南方小镇某个民营企业家家庭背景的小故事而已。（P.S. 没想到因为这条评论居然遭到了人身攻击，是巨婴吗？该片确实没拍出中国好的一面，你可以不喜欢，但我请问哪里不真实了？是在中国实地取景不真实吗，人家建了假小镇、假工厂、假别墅来黑中国吗？还是富二代在国外造钱不真实了？香蕉人会抱怨翻墙不真实吗，连身边有些国人都会抱怨翻墙，怎么就不真实了？我想问问。）,2020-04-15
20,Bork,1,這一在美台籍導演的自傳體作品，提供了香蕉人富二代回到母國中國，以美式價值觀“教化”母國富一代並“搭救”底層的敘事。計劃生育，吃狗肉，富商找髮廊妹做老婆，深圳公司的菲律賓籍設計師因為內地的信息封鎖、需要到香港學習前沿設計，諸如此類的刻板印象段子姑且不論，富二代女主安心享有資本家父親在中國鄉鎮設廠的收益，藉此在美國大城市兩千美金一晚的夜店裏自由揮霍，又反身指控父親的生意是“血汗工廠”，對此大加嘲諷和撻伐，並勸服父親停止對工廠工人的“剝削”，影片類似這樣的構架，讓人感覺像是個揪著自己頭髮、想把身子拎起地面的人，編導的社會分析能力和對於全球化的理解之淺薄可見一斑。2020年11月7日深夜於北大暢春。,2020-11-08
21,V'S double life,4,前天看了在西南偏南看了首映。一个洛杉矶华裔第二代回国学习生存技能以及与在成长中不负责任的父亲和解的故事。比crazy rich asian好看多了。除了富这点之外，她回国的部分非常能够带动我的感受。,2019-03-11
22,Hornykid,1,这是我近年来看过最恶心的电影。主人公的任性，即便是“伤痕人格”，也叫人从第一分钟起就想作呕。另外，作为主创，如果你们要拍一个在中国、广东的故事，能不能至少尊重一下你的故事的地缘文化，找一些能说清楚广东话的配角演员？Those ABC faces & accent are really killing me…,2020-04-13
23,hexdiad,1,刻板印象到爆炸…大概是站在火星看地球的距离感，每一个点都是制造出来的。对于企业利润水平的意象真是飞起……,2020-04-15
24,Witt,1,黄香蕉 ！Fuck off！令人作呕,2020-04-11
25,ALTMAN,1,豆瓣上一群反思怪，建议先从自己做起，自杀了中国人就少了一个了，加油！,2020-11-08
26,stay hungry，st,1,看到导演是湾狗，我也就不惊讶了,2020-11-08
27,天天都高兴,2,这片有五分，不愧是舔的起飞的豆瓣网友,2020-11-07
28,什么是演技,1,垃圾的很 三观歪到姥姥家了 台词里居然还有天杀的共产中国？ 女主丑的恶心人,2020-04-01
29,#外出偷狗#,3,看到熟悉的机场出口算是真·China，对作为世界工厂的中国形象的描写也算稍稍更进一步。但这个土豪老爸的设置更像是另一种Crazy Rich Asian似的猎奇，开挂女主角的成功之路也依旧梦幻。,2020-10-09
30,左眼看电影,3,女主确实一点都不像华裔，剧作拙劣的就像迪士尼的合家欢家庭剧。不过对于中国刻板而又肤浅的印象倒是有点意思,2020-05-10
31,Traveling Ligh,1,?????就这都有人洗?全片看下来我都快看吐了。其他都不说了，谁家在瓷砖上贴裸女?迷惑行为大赏全集。拜托，我们自己也可以发展很好，不需要你美国一天到晚来拯救,2020-11-08
32,城,1,能给这片打一分以上的人恐怕都是一些香蕉人和二鬼子吧,2020-11-07
33,Roberta,1,导演编剧这样做对比来让自己开心一点，算不算是自慰的一种,2020-07-20
34,反叛的鲁路修,1,辱华，而且是很低级很搞笑的辱华，连从没来过中国的外国人都不一定信的那种。什么“因为设计师一直被困在中国所以他们才不懂潮流”啦；“除了北京上海所有的城市都是脏乱差”啦；“深圳没有牛油果”啦；“二胎不能上户口”啦；“中国菜就是没有我们美利坚的hamburger好吃”啦之类的，真的荒唐到可笑！看来所谓的“皈依者狂热”果然是真的，最热衷于黑中国的永远都是这些香蕉人！,2020-11-07
35,向付召,1,台巴贱畜拍的,2020-11-08
36,已注钅肖陌生人,1,"苏州鸿伟电子科技有限公司
貌似是导演在中国的公司",2020-11-07
37,Strahovski,4,故事讲的挺好看,2020-03-18
38,有人有酒得所愿,3,哈哈哈哈非常有意思的片子，当然也有对中国社会的一点点偏见，当然戏剧就是放大矛盾搬上荧幕才有看头。可是Anna 一个日本人演中国人，怪不得讲不了中文😂，这里面的小孩子们也都应该是ABC，他们广东话讲的拗口，英文讲的流利，他们扮演土生土长的中国小孩，真的是非常有意思。。😂,2020-04-12
39,bebetterlj,1,又恶心又可笑,2020-11-08
40,梵目,2,.69ytw.呵呵哒,2020-04-14
41,Minimalismer,1,刻板与偏见,2020-11-07
42,乌鸦殿下||神器·加藤鹰之手,1,傻逼台湾人,2020-11-15
43,Cloud,1,曾经的此类美国片就算是带有意识形态输出和刻板印象偏见也好歹能做到有的放矢，还能被公知作为武器忽悠到不少人，而如今却只得靠着不知名香蕉人导演演员和十八线制作发行商来产出这种连美国人都嘲讽的粪作，给人以黑无可黑只能胡说八道的可笑观感。,2020-11-19
44,c,1,标准的被美国门寄挤过的弱智🧠，拍出来这么沙雕的电影，咋不去拍迪士尼呢，公主奇遇记是吗，全中国都是低收入没文化的农民，拿着4000工资吃着食堂的狗屎瑟瑟发抖，水果是高奢，没见过牛油果，连塔麻苹果都吃不起，快来解救我们吧帝国主义！我本来以为一定是个弱智白人电影，一看原来是阿弯仔，行，不愧是你，为了巴结老美子不惜走上艺术道路曲线救国是吗，挺叼的。,2020-07-22
45,堀井,1,是蛙就不奇怪了。,2020-11-07
46,Alizãe,1,感觉编剧很没有生活 那么小的一个工厂 人工造玩具能挣多少钱？而且整个电影缺少生活细节 就显得十分刻意  点太少的结果 更扯的是 mass production一堆老气的玩具 居然还是没订单的？这搞笑呢？ 这种生意头脑早黄了好吧,2020-04-18
47,小富即安,3,感觉是发生在香港的事,2020-11-07
48,因巧克力而死,1,这片子豆瓣还有5.1？EXM？,2020-11-07
49,后知的蜗牛,1,垃圾人拍垃圾电影，抹黑你祖宗，不肖子孙滚回美国去。,2020-11-15
50,Riobluemoon,3,6.5分。又是一个浪子回头拯救世界的故事，无非就是把背景放在了中国。我是不太理解这种什么都不懂的姑娘是怎么一下子就能成为工厂的救世主的~~但起码导演还是知道点中国，要说乳化也不是很明显，就是这里的中国换成世界上任何国家都没太多分别。流水线上随便出的B级片而已。,2020-04-15
51,满江红,4,开始的部分充满了对中国的各种刻板印象，后段又过于完美的化解了危机，最大的优点在于真实，是那种美国人眼中看到的中国的真实，作为一个新人导演来说，还拍得挺好看的，已经非常不错了。,2020-04-11
52,佑小右,1,豆瓣能出0星吗,2020-11-15
53,606,3,除了太刻意的点，还挺好看的,2020-07-07
54,李舜臣他妈,1,原来八国混血是真实存在的，不过和我想的太不一样，我以为会是那种绝色大美女。。。。,2020-11-15
55,一叶知华,1,台湾人成功从我小时候印象中的国际城市变成了乡巴佬哈哈哈，然而这垃圾居然有五分，豆瓣不少香蕉人啊,2020-11-17
56,阿瑾,1,充满偏见和刻板印象好辣鸡,2020-11-15
57,想吃了你,1,没有二十年脑血栓拍不出这么个烂怂玩意儿。,2020-11-17
58,Armie,1,贬低祖国。垃圾片,2020-11-15
59,朝阳区妻夫木聪,2,“刻板”不是最大的问题，至少还算真实地呈现出一些现实情况，比如贫富差距、父系家族、劳动力剥削等等，这些能叫黑吗？你把镜头对准北京上海，把眼睛闭上这些事难道就不存在了吗？所以这一part其实还尚可接受。但是全片的“刻意”就有些难以接受了，比如刻意展现冲突又刻意达成和解，就连所有的“剥削”和“拯救”桥段看起来都像是刻意迎合的视角。在呈现文化对立的部分又有点流于表面，刻意制造happy ending，不够深入，也比较失真。,2020-04-13
60,潋 | Béatrice,1,看烂片看出了“给爷整乐了”的心情,2020-11-12
61,oops,3,stereotype,2020-04-11
62,努力的不像话💪,1,令人作口区,2020-11-15
63,Nadja,1,对中国的误解太深了,2020-11-10
64,陆支羽,2,2.0。,2020-04-11
65,呵呵倩,2,通篇看下来，看似是女主达成了跟家人的和解、以及对中国的全新认识，实则细节里全是刻板成见...求求那些没在China生活过的华裔导演，好好拍本土ABC的故事就好，别什么硬往China身上凑，跟你们总统一个德行,2020-08-23
66,平成宅叔,2,还是老老实实在美国待着吧，这些亚裔导演没有中国生活经历，也根本不了解中国，更多是猎奇的角度，很容易造成偏见和片面的表达。,2020-07-09
67,沉山泥,3,很肤浅，讲了一个外国人眼中的华裔故事……,2020-06-27
68,Meya🌱めや,1,我怎么感觉这个部片子是在黑中国的……全程WTF……,2020-04-13
69,剑工场,1,烂片，2020年的片子，拍出清末的世界，各种刻板印象，导演关小黑屋去反省,2020-11-15
70,Swainchem,1,我可去你妈的刻板偏见吧，现在不仅白皮拯救世界，连他妈香蕉人都开始拯救世界了？别叫回到中国了，《滚出中国》更适合。,2020-04-12
71,疯狂的雨果,1,我特么去你大爷的！！！导演你是不是几十年没去过深圳了？,2020-11-09
72,dhahjkdh,1,啥玩意！,2020-11-16
73,Lanist3r,4,哎我抱着试试看的态度看完了，我甚至觉得这个电影值得被鼓励，就是能感觉到导演想要拍一些中美家庭观的差异的，和父母是如何对孩子表达爱的，这个电影拍的其实中规中矩，富也不应该像这样展示，凶和严格也不应该这样展示，另外父亲的英语有点硬的过分，但是黑中国的那些点我还挺喜欢的，小故事还都不错，拍出来一点儿温馨的感觉，明显感觉前半段慢了，后半段急了，给导演加个油吧，多拍,2020-04-11
74,和云生,1,口区,2020-11-07
75,abcdefg,1,看了想洗眼，谨慎观看,2020-11-15
76,sky1224,1,这应该是我在豆瓣的第一个一星，全剧充满了美式的偏见和价值观，本来夹带私货也算普遍，但导演竟然还好意思说这是她的个人经历，完全脱离中国的实际情况。全篇就是美国有多好美国价值观有多好，中国有多落后中国人有多保守。台湾新生代终于也开始要输出价值观了，尤其是向美国爸爸。,2020-11-15
77,Aespa-柳智敏,1,这个呆湾华裔导演能不能拍点阳间的剧情啊请问 整个电影充满着对中国的歧视偏见 wdnmd 傻b东西,2020-11-15
78,Uchiha_Sasuke,1,墙确实是一个困扰人的话题，但是两个菲律宾设计师因为不能上网吸收近年来的新设计，甚至为了找灵感去香港观摩，就纯属胡说了。全剧组对中国的印象停留在20年前。,2020-07-02
79,Juanita,1,看了二十分钟看不下去，shallow,2020-03-28
80,tottal,3,这片符合洋大人对天朝的想象吧？哈哈！2020年了，不欢迎你们了。,2020-08-08
81,江左,3,这个片子讲了一个让我不知道怎么评价的故事。毫无疑问里面有不少对中国企业的展示，当然也与实际情况有不小的偏差，比如明显这个工厂里很多女职工年龄都偏大，不太象是需要托儿所来照顾幼儿；比如从菲律宾招募的设计师对潮流一无所知。对于华人企业家、华人家庭也有展现，特别是华人特有的家庭观念的展示，但这位老爹身上同时出现封建专制家长和默默奉献父爱的两种角色，实在是太违和了。这片子只能说还行，实在是不怎么吸引人。,2020-04-15
82,余涛,1,2/10,2020-04-17
83,NG7 2QY,2,有难得的地方，展现了全球化之下供给美国的中国供应链下的一个小视角，对美国观众其实会更有受教意义，包括两个姐妹之间矛盾的展现。但差的地方是真差，很indie的拍法，肉眼可见的刻板吐槽和刻意，台词也太过于直白.... ,2020-05-14
84,野猪上树忙,3,还不错啊，讲的确实蛮写实的，除了托儿所和有些地方剧情比较生硬。,2020-04-17
85,侯玉榆,1,拜托不要再拍这种虚情假意的电影了,2020-04-16
86,不愿露脸,3,回到中国，待了一阵，又回美国了，还不如叫“我的父亲在中国”呢，实际内容比预想的要好，整体比较平，故事朴实无华却并不枯燥乏味，女一/女二都曾有过编剧经历，对导演而言这未必是件好事，个人感觉女二演得更好，只不过人设没那么讨喜罢了，想说说“工具人”的问题，有的角色演着演着就不见了，你哪怕是交代一两句也行呀，小成本嘛，可以理解，也不需要大喷特喷。。。另外就是，盘头发对女主颜值的提升还蛮大的，带点儿口音的中文甚至还很萌萌哒，不信你听：我爸爸勒~~~~~~,2020-04-14
87,浮游海月,1,盒盒。,2020-11-08
88,可樂咖啡君,1,看完再次对别告诉她肃然起敬。,2020-11-16
89,ztlpoppy,2,很差，有种导演各个角度都想涉及却能力不够隔靴搔痒，导致一个尴尬而粗制滥造的作品。视角也很奇怪，所有的戏剧冲突，家庭隔阂都非常的刻意，化解的也很突然毫无过渡。看似说的是一个富家女回中国工厂改变自己娇生惯养的故事，但是一切成功又基于老爸有钱，出了问题也是靠认识油管网红…无语，这样的作品才让人发现《别告诉她》真是赞赞赞,2020-04-16
90,老于聊片,2,中国题材真不少,2020-04-15
91,罗勒少年,2,放在短视频平台分成很多集来播出 应该还比较对感觉,2020-04-18
92,梁夏,1,这玩意居然还有人打高分？真的是脑子有病,2020-11-08
93,桃园墨语🍃,1,凡是在中国能幼儿园毕业的都不能写出这样睿智的剧情。,2020-11-17
94,匡匡,1,导演傻逼？,2020-11-15
95,jmk,1,这分怎么会这么高？,2020-11-08
96,可樂咖啡君,1,看完再次对别告诉她肃然起敬。,2020-11-16
97,梁夏,1,这玩意居然还有人打高分？真的是脑子有病,2020-11-08
98,小黄兔,2,强烈违和感。。感觉里面每一个人设三观都挺歪的但故事却处处给这些人设打圆场。富家女傻白甜，却总是“幸运地”被解困，蛮假的。,2020-07-11
99,野猪上树忙,3,还不错啊，讲的确实蛮写实的，除了托儿所和有些地方剧情比较生硬。,2020-04-17
100,不愿露脸,3,回到中国，待了一阵，又回美国了，还不如叫“我的父亲在中国”呢，实际内容比预想的要好，整体比较平，故事朴实无华却并不枯燥乏味，女一/女二都曾有过编剧经历，对导演而言这未必是件好事，个人感觉女二演得更好，只不过人设没那么讨喜罢了，想说说“工具人”的问题，有的角色演着演着就不见了，你哪怕是交代一两句也行呀，小成本嘛，可以理解，也不需要大喷特喷。。。另外就是，盘头发对女主颜值的提升还蛮大的，带点儿口音的中文甚至还很萌萌哒，不信你听：我爸爸勒~~~~~~,2020-04-14
101,有时间就看电影,2,选角真的很有问题不过没办法只能选美籍华人。然后就能对中国真的很多偏见和不实，跟我们实际的情况很多不一样。太假了。,2020-05-20
102,🍓,2,我大深圳哪是这个样子啦,2020-05-04
103,Le Salomon,2,hhh,2020-11-07
104,Benedictus VI,2,傲慢与偏见,2020-05-03
105,桃园墨语🍃,1,凡是在中国能幼儿园毕业的都不能写出这样睿智的剧情。,2020-11-17
106,introvert,4,需要鼓励越来越多的华人拍摄自己的故事,2020-05-23
107,匡匡,1,导演傻逼？,2020-11-15
108,Futako,2,看了评论，都还写的不错；,2020-05-02
109,Kugatsu,2,好了好了知道美国人有钱了,2020-03-08
110,漂泊的云,4,还挺有意思的，有的人觉得里面有偏见，偏就偏呗，不偏能是外国人拍的？女主看多了还挺好看，可爱，就是居然不是中国人。,2020-04-18
111,jmk,1,这分怎么会这么高？,2020-11-08
112,Iseult,4,个人觉得很真实，父母因工作而缺席不是借口,2020-06-14
113,甘道夫没有爱情,1,恶心的台巴子拍的尬黑我国的电影，真的恶心！,2020-11-16
114,Zoom.Quiet,3,"是也乎,(￣▽￣)
标准的 HK 味儿,
竟然由美国制造...

逻辑先不说了, 设计的核心矛盾还算OK

小妹妹 的演艺最好,没想到...

老吴是真老了...

其它, 和中国没什么关系.",2020-07-04
115,Kevin King,1,我今天是有多闲着没事干！！！,2020-11-15
116,珍贵的尧尧,1,去你ma，刻板形象。,2020-11-16
117,张无情,1,骨子里就是歪的，合着在你们眼中中国就是老破小。,2020-05-06
118,假面Vic小飛俠,1,中国真的可以参与制作这种电影吗？,2020-11-09
119,路人甲先生,3,Anna Akana的表演有让这个无聊的故事稍微活泼一点。,2020-04-11
120,荒冢2677,3,可以消磨时间的东西。,2020-05-29
121,juri1117,2,粗制滥造。不过此片很神奇，让无数次想弃片得我看到了最后LOL,2020-06-10
122,ben,1,什么垃圾电影,2020-11-16
123,隻犬库丘ein,1,#脱脂牛奶#🥛,2020-05-30
124,可可,3,泪点真低～～啊哈哈哈～～消耗时间转化心情看看不错，不用过脑轻松愉悦。,2020-04-12
125,芬妮摩尔,3,emmmm，只能算是个特别的中国家庭,2020-04-11
126,小西天舒绣文,1,用偏见和无知来获取优越感是最恶心人的。,2020-11-05
127,CCCcc,1,什么鬼🙄️,2020-11-15
128,47,4,Nice inde ,2020-04-12
129,奥莉维深,2,一个电影学院大学生毕业作品的水平，源于一个高中生命题作文水平的本子。,2020-10-03
130,Lutetium,2,被坏蛋兔子忽悠看了这么个电影，求内心阴影面积…,2020-04-16
131,焦虑子层析液,2,“不好好学习可是要回家继承家业的啊！”说实话我感觉我认识的富二代老外好像都挺看好中国市场的（也可能是因为在我们一群中国人面前也不好说啥不好的）故事很单薄也很无趣但总的来说还算能接受。看人工厂工人英文都那么好……突然感觉自己留学回去也就是这水平了……,2020-06-05
132,sleepwalking,3,感情铺垫不足，剧情漏洞太大，问题解决方式莫名其妙。女儿们都是美国人，爹的表达方式也一点也不接地气… … 小N高中没毕业的英语讲这么好是真实存在的吗？看这种片子感觉就像泰国人看唐人街办案。结尾那个翻唱的rich girl很好听不过没几句。总的来说2.5-3分不能再多了。,2020-04-16
133,些晕,3,经一事长一智.败家女孩成长记.,2020-10-09
134,铃铃,1,司机大佬你被绑架了就眨眨眼，拍的什么垃圾玩意儿,2020-11-15
135,雪来雪去,3,anna akana演技有点失望、但是还是很喜欢调调！,2020-04-17
136,金灯道君,1,导演亲妈死的不安详。,2020-11-15
137,五月暖风,2,对中国的印象很刻板肤浅。对计划生育也是肤浅的解读，农村可以生两个，而且两个都能上户口都能上公立学校。,2020-07-31
138,B&W,1,hhhhh,2020-11-07
139,斯坦利•赵,2,外表看着是中国，内核还是美国的。,2020-07-07
140,雨芒,1,总是有人提到什么“嗯，我觉得是美国人眼中的中国视角，很好”这种话，我想问问你们这些屁话和台湾前阵子一道考题:“请适分析日本侵略中国大陆是有利或有敝”有什么区别？有些人死了就是死了，你救不活的，它们不像你家的狗，护食咬你还能调教过来，它们心里的那团火早已经熄了，再点不着的。,2020-11-15
141,惊云论经,1,这片叫死回中国挺合适，一股子尸臭味儿,2020-11-15
142,standbyme,1,拍NM,2020-11-09
143,拉拉西,1,烂,2020-04-15
144,绅士Kevin,1,？导演编剧死全家？中国是你能辱的？,2020-11-16
145,晴,1,香蕉人爬,2020-11-08
146,安安静静,4,那个最小的女儿的表演太给力了，好苗子，未来之星,2020-04-25
147,叶隐,1,就你妈离谱,2020-11-08
148,vivian_J,1,4.7?豆瓣舔狗垃圾把我整吐了！高高在上美国香蕉人扇你一巴掌，你还说打得好，腆着脸求着打另一边呢！骂这部电影，还会被说接受不了批评，民粹！我呸！你们这叫贱！,2020-11-13
149,喜新厌旧买买买,1,恶心🤢,2020-11-15
150,西瓜女,2,为啥这类作品越来越多呢,2020-04-12
151,Melodia,2,感觉非常微妙的一部电影。导演说是有自传体验在里面，导演的爸在电影里直接上阵演父亲的角色。家庭关系确实很有上个世纪广东、香港的那种想象，也不知道为啥就想到了赌王…确实很刻板印象的表现了中国，但又不是完全说是无根无据，所以才会觉得很微妙,2020-04-15
152,重瞳,2,所以我究竟是为什么会给这部电影一个机会来着？,2020-04-29
153,没逻辑的人,1,哈哈哈哈哈这电影看得我真的蛮想笑诶 特别是在疫情过后 ,2020-04-26
154,甲大方,1,……,2020-11-16
155,樱桃大包子,3,挺真实的 深圳制造业本来就是这样 包N奶什么也太真了 兴致勃勃的看完 唯一不足就是几次矛盾的处理太简单了,2020-04-17
156,Tony,3,一部小成本美国电影，在欧美无人问津，在中国成为热门。剧情简单，漏洞较多，强行带节奏。,2020-05-11
157,Cassandra,1,充满了殖民主义和stereotype，明明就是拍了一个典型的傻逼亚裔spoiled white,2020-04-20
158,想做熊的孩子,1,可以打负分吗！！！！,2020-11-15
159,超卜力星人,1,滚出中国,2020-11-15
160,云中泰坦,1,超级大烂片，完全脱离现实，媚美贬中也要说到点子上，胡说八道的话就引人反感了。,2020-11-15
161,废话盒饭,2,女主在美国的阅历本身靠着就是父亲在中国的资本，然后她一直用一种批判的态度观看像皇帝一样的父亲，而其实她也享受其中的好处，我倒是觉得对于中国的呈现没问题，就是故事本身太烂了,2020-04-14
162,我说啊卡啊,1,台湾人搭档一个没有中国血统的亚裔和一个香港人拍的回到中国深圳？呵呵,2020-11-15
163,韫锦,3,导演很努力，可是依旧不好看。部分真实的桥段也未必能讲一个好故事,2020-05-09
164,周大姐,1,这是个传播刻板印象的电影吗？食堂的桥段简直是美帝救世主。,2020-04-11
165,Emp陈柏,3,"这好像是一个初中生15年前来到中国之后的日记。
我很喜欢这种西方人看中国的角度，看来虽然有点可笑但是也是另一种角度，毕竟在体制下我们总是从一个角度看社会他们眼中的中国老板，剥削员工、崇尚家族、豪宅名车、三妻四妾。
他们眼中的中国人，死板、落后、没自由、甚至没有人权。
虽然现在中国已经不这样了，但是我们好像曾经是这样过。但我们这代人的民族自信已经养成，只会一笑了之，并觉得世界应该进步了，因为中国早已把世界放在自己的身后了。",2020-04-16
166,TaylorSun,1,够烂 吹捧欧美贬低自国很牛？go back to ur fucking America,2020-11-15
167,绫濑遥,1,什么垃圾,2020-11-15
168,刘赚钱,3,发自内心的、真诚的刻板成见……抛开政治立场和客观事实，就电影本身来说还是中规中矩在讲故事。btw，男主是台播种机,2020-04-14
169,我叫里昂,1,无论是美国导演想拍出东方色彩，还是中国导演迁就西方审美去拍，都失去了传统东方色彩的精髓，如果电影拍的真的好，应该是国外人来了解中国，而不是反着为了让他们接受而去拍。,2020-04-14
170,MEOW,1,"什么cliche香蕉人去死吧",2020-11-09
171,自然的风,1,不是因为场景，而是故事太扯淡！,2020-11-15
172,瑞瑞酱🍥,1,滚回去！,2020-11-16
173,莴笋洋葱姜,2,打着政治边缘的擦边球说着现实的亲情故事。只能说导演能力不足，只能运用一些镜头上的对比和一些无聊的台词来反应这部电影想陈述的东西。,2020-04-11
174,熊猫,3,女主的天真善良倒也还行,2020-04-17
175,Vincen,1,有0分吗？说这个电影辱华都不过分,2020-11-15
176,小麦,1,不拍深圳的高楼刻意拍城乡结合，还可以说是为了剧情，但在深圳说玩具做的不好跑到香港拍玩具，这不是扯淡吗？香港哪个玩具不是中国做的。满满的傲慢和偏见,2020-11-17
177,秋不散,1,仅从艺术性上看就已经名副其实的piece of shit了，讲内容的话，给个负分选项,2020-11-07
178,小吴佑佑,2,把宠儿打造成情感忽视的受害者，用草率幼稚的善意初衷作为所有不计后果的自私行径的完美借口，还找了个最轻松的台阶给最愚钝的一方下，三观实在是太自我了。这股救世主般的人权斗士同情姿态其实很令人作呕，她提一个主意，却收获所有掌声，太...,2020-04-13
179,我是韩逃逃,4,"正是现在所需要的轻松小品。
experience is better than any trust fund that i can give you.",2020-04-12
180,little囡囡,4,看起来像电视剧，平平淡淡的讲了一个完整的故事。,2020-04-23
181,托托,1,你说汉奸吧，导演是个美国人。香蕉人眼中的中国,2020-11-07
182,不高兴不乐意,1,"一颗星都不想打的烂片之一
这烂片分还有四点几，只是因为看的人少吧。简直了",2020-11-15
183,妮可吱,3,其实不差。到最后卷托儿所之前都很真实,2020-04-19
184,雪山飞猪！,4,换个视角来看中国工厂还挺有意思的。文化里好的和不好的方面都表现到，基本合理。故事结构还是比较套路化。跟纪录片《美国工厂》一起看会很有意思。豆瓣得分这么低，我觉得是有些人太玻璃心，觉得把中国表现得不够高大上，其实这个老板已经很不错了，现实有的方面比电影好，有的方面更丑陋。,2020-04-18
185,大茈花,3,"Family is your family,it's not your business!",2020-07-19
186,☁,1,什么歧视电影，对中国描写太………片面了吧,2020-11-15
187,麦子,4,不同文化之间带来的往往是误解，待人处事方面也有天壤之别，共通之处在于人性，还有血缘，对立和理解部分都演绎的比较自然，主题没有刻板偏见表现比较客观，故事冲突和解决走了影视剧的理想化之路，几段父女、子女之间的对话很有国人的借鉴意义，我们的家庭多久没有好好沟通和交流过了,2020-04-15
188,村里已经决定了,3,当一部温情家庭片来看还是可以的，主要是因为香港导演想要刻意突出香港，对内地环境的描写显得刻板了许多,2020-04-13
